"country","year","iso_code","continent","net_wgt_kgs","net_wgt_lbs","is_net_wgt_estimated","primary_value_usd","month_abb","month","month_year","nh_season","sh_season"
"China",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",2016,"CHN","Asia",428859.672,945464.03,TRUE,1598796,"Jan",1,"Jan 2016","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2016,"CHN","Asia",114698.79,252864.95,TRUE,427599,"Feb",2,"Feb 2016","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2016,"CHN","Asia",565655.735,1247044.63,TRUE,2108774,"Mar",3,"Mar 2016","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2016,"CHN","Asia",694100.172,1530213.24,TRUE,2587617,"Apr",4,"Apr 2016","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2016,"CHN","Asia",687688.183,1516077.37,TRUE,2563713,"May",5,"May 2016","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2016,"CHN","Asia",135050.094,297731.44,TRUE,503469,"Jun",6,"Jun 2016","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2016,"CHN","Asia",85620.594,188759.16,TRUE,319195,"Jul",7,"Jul 2016","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2016,"CHN","Asia",104646.796,230704.33,TRUE,390125,"Nov",11,"Nov 2016","Northern Hemisphere Fall","Southern Hemisphere Spring"
"China",2016,"CHN","Asia",540197.426,1190919.25,TRUE,2013865,"Dec",12,"Dec 2016","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2017,"CHN","Asia",1020227.338,2249193.19,TRUE,3425740,"Jan",1,"Jan 2017","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2017,"CHN","Asia",546441.517,1204684.97,TRUE,1622691,"Feb",2,"Feb 2017","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2017,"CHN","Asia",1084793.331,2391535.38,TRUE,3642541,"Mar",3,"Mar 2017","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2017,"CHN","Asia",1007479.782,2221089.93,TRUE,3382936,"Apr",4,"Apr 2017","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2017,"CHN","Asia",671775.39,1480996.02,TRUE,2255701,"May",5,"May 2017","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2017,"CHN","Asia",317858.588,700751.04,TRUE,1067312,"Jun",6,"Jun 2017","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2017,"CHN","Asia",70164.864,154685.46,TRUE,235601,"Jul",7,"Jul 2017","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2017,"CHN","Asia",102699.363,226411.02,TRUE,344846,"Aug",8,"Aug 2017","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2017,"CHN","Asia",40132.285,88475.64,TRUE,134757,"Oct",10,"Oct 2017","Northern Hemisphere Fall","Southern Hemisphere Spring"
"China",2017,"CHN","Asia",206779.086,455865.17,TRUE,694327,"Nov",11,"Nov 2017","Northern Hemisphere Fall","Southern Hemisphere Spring"
"China",2017,"CHN","Asia",502644.835,1108130.8,TRUE,1687791,"Dec",12,"Dec 2017","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2018,"CHN","Asia",420992,928118.96,FALSE,5144072,"Jan",1,"Jan 2018","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2018,"CHN","Asia",245273,540728.86,FALSE,3043324,"Feb",2,"Feb 2018","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2018,"CHN","Asia",459310,1012594.83,FALSE,5978834,"Mar",3,"Mar 2018","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2018,"CHN","Asia",285559,629543.37,FALSE,3840689,"Apr",4,"Apr 2018","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2018,"CHN","Asia",218310,481286.23,FALSE,3116034,"May",5,"May 2018","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2018,"CHN","Asia",193057,425613.46,FALSE,2797317,"Jun",6,"Jun 2018","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2018,"CHN","Asia",87222,192289.62,FALSE,962291,"Jul",7,"Jul 2018","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2019,"CHN","Asia",103866,228982.98,FALSE,1295887,"Jan",1,"Jan 2019","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2019,"CHN","Asia",100741,222093.61,FALSE,1095496,"Feb",2,"Feb 2019","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2019,"CHN","Asia",262718,579188.1,FALSE,3112254,"Mar",3,"Mar 2019","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2019,"CHN","Asia",722366,1592528.08,FALSE,8456943,"Apr",4,"Apr 2019","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2019,"CHN","Asia",402034,886324.16,FALSE,3706476,"May",5,"May 2019","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2019,"CHN","Asia",666586,1469555.5,FALSE,6564574,"Jun",6,"Jun 2019","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2019,"CHN","Asia",42336,93333.95,FALSE,180621,"Jul",7,"Jul 2019","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2019,"CHN","Asia",136975,301975.08,FALSE,890432,"Sep",9,"Sep 2019","Northern Hemisphere Fall","Southern Hemisphere Spring"
"China",2019,"CHN","Asia",69439,153085.22,FALSE,502721,"Nov",11,"Nov 2019","Northern Hemisphere Fall","Southern Hemisphere Spring"
"China",2019,"CHN","Asia",53166,117209.76,FALSE,432433,"Dec",12,"Dec 2019","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2020,"CHN","Asia",9430,20789.38,FALSE,56580,"Jan",1,"Jan 2020","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2020,"CHN","Asia",72409,159632.88,FALSE,450708,"Feb",2,"Feb 2020","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2020,"CHN","Asia",74488,164216.24,FALSE,488860,"Mar",3,"Mar 2020","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2020,"CHN","Asia",115738,255155.99,FALSE,685891,"Apr",4,"Apr 2020","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2020,"CHN","Asia",51476,113483.99,FALSE,342763,"Jul",7,"Jul 2020","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2020,"CHN","Asia",56555,124681.15,FALSE,311040,"Aug",8,"Aug 2020","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2020,"CHN","Asia",16331,36003.32,FALSE,102747,"Oct",10,"Oct 2020","Northern Hemisphere Fall","Southern Hemisphere Spring"
"China",2020,"CHN","Asia",449082,990046.18,FALSE,2884985,"Nov",11,"Nov 2020","Northern Hemisphere Fall","Southern Hemisphere Spring"
"China",2020,"CHN","Asia",308455,680019.89,FALSE,2211813,"Dec",12,"Dec 2020","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2021,"CHN","Asia",386670,852452.68,FALSE,3337911,"Jan",1,"Jan 2021","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2021,"CHN","Asia",54398,119925.83,FALSE,446177,"Feb",2,"Feb 2021","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2021,"CHN","Asia",287770,634417.74,FALSE,2739489,"Mar",3,"Mar 2021","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2021,"CHN","Asia",646372,1424991.71,FALSE,6606842,"Apr",4,"Apr 2021","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2021,"CHN","Asia",162853,359025.72,FALSE,1546209,"May",5,"May 2021","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2021,"CHN","Asia",210818,464769.36,FALSE,2039520,"Jun",6,"Jun 2021","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2021,"CHN","Asia",92972,204966.07,FALSE,919938,"Jul",7,"Jul 2021","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2021,"CHN","Asia",71698,158065.41,FALSE,632098,"Aug",8,"Aug 2021","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2021,"CHN","Asia",6598,14545.95,FALSE,53934,"Sep",9,"Sep 2021","Northern Hemisphere Fall","Southern Hemisphere Spring"
"China",2021,"CHN","Asia",63207,139346.15,FALSE,563635,"Oct",10,"Oct 2021","Northern Hemisphere Fall","Southern Hemisphere Spring"
"China",2021,"CHN","Asia",33264,73333.81,FALSE,211219,"Nov",11,"Nov 2021","Northern Hemisphere Fall","Southern Hemisphere Spring"
"China",2021,"CHN","Asia",14080,31040.77,FALSE,137979,"Dec",12,"Dec 2021","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2022,"CHN","Asia",117349,258707.61,FALSE,1060168,"Jan",1,"Jan 2022","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2022,"CHN","Asia",386436,851936.81,FALSE,3461024,"Feb",2,"Feb 2022","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2022,"CHN","Asia",128644,283608.56,FALSE,1172080,"Mar",3,"Mar 2022","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2022,"CHN","Asia",80874,178294.82,FALSE,681679,"Apr",4,"Apr 2022","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2022,"CHN","Asia",303694,669523.79,FALSE,2651466,"May",5,"May 2022","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2022,"CHN","Asia",428890,945530.89,FALSE,4106023,"Jun",6,"Jun 2022","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2022,"CHN","Asia",33160,73104.54,FALSE,372489,"Jul",7,"Jul 2022","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2022,"CHN","Asia",16461,36289.92,FALSE,156378,"Aug",8,"Aug 2022","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2022,"CHN","Asia",35510,78285.35,FALSE,319881,"Oct",10,"Oct 2022","Northern Hemisphere Fall","Southern Hemisphere Spring"
"China",2022,"CHN","Asia",176065,388152.9,FALSE,1614615,"Nov",11,"Nov 2022","Northern Hemisphere Fall","Southern Hemisphere Spring"
"China",2022,"CHN","Asia",138804,306007.3,FALSE,1133242,"Dec",12,"Dec 2022","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2023,"CHN","Asia",112659,248368.03,FALSE,864231,"Jan",1,"Jan 2023","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2023,"CHN","Asia",221529,488382.83,FALSE,1680612,"Feb",2,"Feb 2023","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2023,"CHN","Asia",236131,520574.4,FALSE,2004999,"Mar",3,"Mar 2023","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2023,"CHN","Asia",529481,1167293.81,FALSE,4991398,"Apr",4,"Apr 2023","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2023,"CHN","Asia",673224,1484189.63,FALSE,6321027,"May",5,"May 2023","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2023,"CHN","Asia",479575,1057271.05,FALSE,4269236,"Jun",6,"Jun 2023","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2023,"CHN","Asia",233953,515772.78,FALSE,1940022,"Jul",7,"Jul 2023","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2023,"CHN","Asia",85402,188277.25,FALSE,754940,"Aug",8,"Aug 2023","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2023,"CHN","Asia",44684,98510.35,FALSE,341015,"Sep",9,"Sep 2023","Northern Hemisphere Fall","Southern Hemisphere Spring"
"China",2023,"CHN","Asia",8145,17956.47,FALSE,17512,"Oct",10,"Oct 2023","Northern Hemisphere Fall","Southern Hemisphere Spring"
"China",2023,"CHN","Asia",55952,123351.78,FALSE,406821,"Nov",11,"Nov 2023","Northern Hemisphere Fall","Southern Hemisphere Spring"
"China",2023,"CHN","Asia",79163,174522.75,FALSE,546925,"Dec",12,"Dec 2023","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2024,"CHN","Asia",267864,590532.97,FALSE,1921651,"Jan",1,"Jan 2024","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2024,"CHN","Asia",355373,783455.32,FALSE,2694699,"Feb",2,"Feb 2024","Northern Hemisphere Winter","Southern Hemisphere Summer"
"China",2024,"CHN","Asia",136493,300912.47,FALSE,981035,"Mar",3,"Mar 2024","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2024,"CHN","Asia",651471,1436232.97,FALSE,5059638,"Apr",4,"Apr 2024","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2024,"CHN","Asia",888310,1958368.23,FALSE,7075241,"May",5,"May 2024","Northern Hemisphere Spring","Southern Hemisphere Fall"
"China",2024,"CHN","Asia",178978,394574.9,FALSE,1520498,"Jun",6,"Jun 2024","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2024,"CHN","Asia",362081,798243.77,FALSE,2952081,"Jul",7,"Jul 2024","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2024,"CHN","Asia",108830,239926.62,FALSE,768303,"Aug",8,"Aug 2024","Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2024,"CHN","Asia",16520,36419.99,FALSE,143580,"Sep",9,"Sep 2024","Northern Hemisphere Fall","Southern Hemisphere Spring"
"China",2024,"CHN","Asia",65015,143332.07,FALSE,496548,"Dec",12,"Dec 2024","Northern Hemisphere Winter","Southern Hemisphere Summer"
