"variable","class","description"
"year","integer","Reference year in which the trade flow occurred."
"month","integer","Reference month number in which the trade flow occurred, ranging from 1 to 12."
"iso_code","character","Three-letter ISO alpha-3 code of the country reporting the trade data."
"country","character","Official standard English name of the reporting country or geographic territory."
"net_wgt_kgs","double","Net weight of the traded commodity in kilograms, excluding packaging."
"is_net_wgt_estimated","logical","Boolean flag indicating whether the net weight value was estimated or modeled by the United Nations Statistics Division."
"primary_value_usd","double","Principal monetary value used for primary trade analysis, reported in United States Dollars."
"net_wgt_lbs","double","Approximate Net weight of the traded commodity in pounds, excluding packaging. Calculated by multiplying ‘net_wgt_kgs’ x 2.2046."
"month_year","character","Reference month (abbreviated) and year in which the trade flow occurred."
"nh_season","character","Northern Hemisphere seasons based on the National Oceanic and Atmospheric Administration’s meteorological seasons graphic. Winter = Dec-Feb, Spring = Mar-May, Summer = Jun-Aug, Fall = Sep-Nov."
"sh_season","character","Southern Hemisphere seasons based on the National Oceanic and Atmospheric Administration’s astronomical seasons graphic. Summer = Dec-Feb, Fall = Mar-May, Winter = Jul-Aug, Spring = Sep-Nov."
