"country","year","iso_code","continent","net_wgt_kgs","net_wgt_lbs","is_net_wgt_estimated","primary_value_usd","month_abb","month","month_year","nh_season","sh_season"
"India",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"India",2011,"IND","Asia",25143,55430.26,FALSE,176907.61,"Mar",3,"Mar 2011","Northern Hemisphere Spring","Southern Hemisphere Fall"
"India",2011,"IND","Asia",32565,71792.8,FALSE,171571.286,"Apr",4,"Apr 2011","Northern Hemisphere Spring","Southern Hemisphere Fall"
"India",2011,"IND","Asia",9570,21098.02,FALSE,180286.729,"May",5,"May 2011","Northern Hemisphere Spring","Southern Hemisphere Fall"
"India",2011,"IND","Asia",46752,103069.46,FALSE,206087.011,"Jun",6,"Jun 2011","Northern Hemisphere Summer","Southern Hemisphere Winter"
"India",2011,"IND","Asia",125869,277490.8,FALSE,1301501.82,"Jul",7,"Jul 2011","Northern Hemisphere Summer","Southern Hemisphere Winter"
"India",2012,"IND","Asia",32386,71398.18,FALSE,205813.16,"Jan",1,"Jan 2012","Northern Hemisphere Winter","Southern Hemisphere Summer"
"India",2012,"IND","Asia",65688,144815.76,FALSE,761612.613,"Mar",3,"Mar 2012","Northern Hemisphere Spring","Southern Hemisphere Fall"
"India",2012,"IND","Asia",32024,70600.11,FALSE,438213.502,"Apr",4,"Apr 2012","Northern Hemisphere Spring","Southern Hemisphere Fall"
"India",2012,"IND","Asia",136661,301282.84,FALSE,1900482.283,"May",5,"May 2012","Northern Hemisphere Spring","Southern Hemisphere Fall"
"India",2012,"IND","Asia",53980,119004.31,FALSE,704040.739,"Jun",6,"Jun 2012","Northern Hemisphere Summer","Southern Hemisphere Winter"
"India",2013,"IND","Asia",65636,144701.13,FALSE,820136.314,"Jan",1,"Jan 2013","Northern Hemisphere Winter","Southern Hemisphere Summer"
"India",2013,"IND","Asia",9020,19885.49,FALSE,112983.674,"Feb",2,"Feb 2013","Northern Hemisphere Winter","Southern Hemisphere Summer"
"India",2013,"IND","Asia",28524,62884.01,FALSE,372330.131,"Mar",3,"Mar 2013","Northern Hemisphere Spring","Southern Hemisphere Fall"
"India",2013,"IND","Asia",103556,228299.56,FALSE,1464673.806,"Apr",4,"Apr 2013","Northern Hemisphere Spring","Southern Hemisphere Fall"
"India",2013,"IND","Asia",24879,54848.24,FALSE,318365.534,"May",5,"May 2013","Northern Hemisphere Spring","Southern Hemisphere Fall"
"India",2013,"IND","Asia",37726,83170.74,FALSE,416749.733,"Jun",6,"Jun 2013","Northern Hemisphere Summer","Southern Hemisphere Winter"
"India",2013,"IND","Asia",19514,43020.56,FALSE,230090.064,"Jul",7,"Jul 2013","Northern Hemisphere Summer","Southern Hemisphere Winter"
"India",2014,"IND","Asia",7130,15718.8,FALSE,56368.816,"Mar",3,"Mar 2014","Northern Hemisphere Spring","Southern Hemisphere Fall"
"India",2014,"IND","Asia",8748,19285.84,FALSE,96821.162,"Jun",6,"Jun 2014","Northern Hemisphere Summer","Southern Hemisphere Winter"
"India",2014,"IND","Asia",9060,19973.68,FALSE,87039.452,"Dec",12,"Dec 2014","Northern Hemisphere Winter","Southern Hemisphere Summer"
"India",2015,"IND","Asia",39450,86971.47,FALSE,312165.861,"Mar",3,"Mar 2015","Northern Hemisphere Spring","Southern Hemisphere Fall"
"India",2015,"IND","Asia",51030,112500.74,FALSE,357866.704,"Apr",4,"Apr 2015","Northern Hemisphere Spring","Southern Hemisphere Fall"
"India",2015,"IND","Asia",44149,97330.89,FALSE,351664.137,"May",5,"May 2015","Northern Hemisphere Spring","Southern Hemisphere Fall"
"India",2015,"IND","Asia",43550,96010.33,FALSE,354732.863,"Jun",6,"Jun 2015","Northern Hemisphere Summer","Southern Hemisphere Winter"
"India",2015,"IND","Asia",8893,19605.51,FALSE,96798.944,"Jul",7,"Jul 2015","Northern Hemisphere Summer","Southern Hemisphere Winter"
"India",2016,"IND","Asia",9410,20745.29,FALSE,88433.11,"Jan",1,"Jan 2016","Northern Hemisphere Winter","Southern Hemisphere Summer"
"India",2017,"IND","Asia",13766,30348.52,FALSE,187691.527,"May",5,"May 2017","Northern Hemisphere Spring","Southern Hemisphere Fall"
"India",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"India",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"India",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"India",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"India",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"India",2023,"IND","Asia",14303,31532.39,FALSE,140593.082,"Jun",6,"Jun 2023","Northern Hemisphere Summer","Southern Hemisphere Winter"
"India",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
