"COUNTRY","GDP..BILLIONS.","CODE","country","year","total_netwgt_kgs","total_value_usd"
"Afghanistan",21.71,"AFG",NA,NA,NA,NA
"Albania",13.4,"ALB",NA,NA,NA,NA
"Algeria",227.8,"DZA",NA,NA,NA,NA
"American Samoa",0.75,"ASM",NA,NA,NA,NA
"Andorra",4.8,"AND",NA,NA,NA,NA
"Angola",131.4,"AGO",NA,NA,NA,NA
"Anguilla",0.18,"AIA",NA,NA,NA,NA
"Antigua and Barbuda",1.24,"ATG",NA,NA,NA,NA
"Argentina",536.2,"ARG",NA,NA,NA,NA
"Armenia",10.88,"ARM",NA,NA,NA,NA
"Aruba",2.52,"ABW",NA,NA,NA,NA
"Australia",1483,"AUS",NA,NA,NA,NA
"Austria",436.1,"AUT",NA,NA,NA,NA
"Azerbaijan",77.91,"AZE",NA,NA,NA,NA
"Bahamas, The",8.65,"BHM",NA,NA,NA,NA
"Bahrain",34.05,"BHR",NA,NA,NA,NA
"Bangladesh",186.6,"BGD",NA,NA,NA,NA
"Barbados",4.28,"BRB",NA,NA,NA,NA
"Belarus",75.25,"BLR",NA,NA,NA,NA
"Belgium",527.8,"BEL",NA,NA,NA,NA
"Belize",1.67,"BLZ",NA,NA,NA,NA
"Benin",9.24,"BEN",NA,NA,NA,NA
"Bermuda",5.2,"BMU",NA,NA,NA,NA
"Bhutan",2.09,"BTN",NA,NA,NA,NA
"Bolivia",34.08,"BOL",NA,NA,NA,NA
"Bosnia and Herzegovina",19.55,"BIH",NA,NA,NA,NA
"Botswana",16.3,"BWA",NA,NA,NA,NA
"Brazil",2244,"BRA",NA,NA,NA,NA
"British Virgin Islands",1.1,"VGB",NA,NA,NA,NA
"Brunei",17.43,"BRN",NA,NA,NA,NA
"Bulgaria",55.08,"BGR",NA,NA,NA,NA
"Burkina Faso",13.38,"BFA",NA,NA,NA,NA
"Burma",65.29,"MMR",NA,NA,NA,NA
"Burundi",3.04,"BDI",NA,NA,NA,NA
"Cabo Verde",1.98,"CPV",NA,NA,NA,NA
"Cambodia",16.9,"KHM",NA,NA,NA,NA
"Cameroon",32.16,"CMR",NA,NA,NA,NA
"Canada",1794,"CAN",NA,NA,NA,NA
"Cayman Islands",2.25,"CYM",NA,NA,NA,NA
"Central African Republic",1.73,"CAF",NA,NA,NA,NA
"Chad",15.84,"TCD",NA,NA,NA,NA
"Chile",264.1,"CHL",NA,NA,NA,NA
"Colombia",400.1,"COL",NA,NA,NA,NA
"Comoros",0.72,"COM",NA,NA,NA,NA
"Congo, Democratic Republic of the",32.67,"COD",NA,NA,NA,NA
"Congo, Republic of the",14.11,"COG",NA,NA,NA,NA
"Cook Islands",0.18,"COK",NA,NA,NA,NA
"Costa Rica",50.46,"CRI",NA,NA,NA,NA
"Cote d'Ivoire",33.96,"CIV",NA,NA,NA,NA
"Croatia",57.18,"HRV",NA,NA,NA,NA
"Cuba",77.15,"CUB",NA,NA,NA,NA
"Curacao",5.6,"CUW",NA,NA,NA,NA
"Cyprus",21.34,"CYP",NA,NA,NA,NA
"Czech Republic",205.6,"CZE",NA,NA,NA,NA
"Denmark",347.2,"DNK",NA,NA,NA,NA
"Djibouti",1.58,"DJI",NA,NA,NA,NA
"Dominica",0.51,"DMA",NA,NA,NA,NA
"Dominican Republic",64.05,"DOM",NA,NA,NA,NA
"Ecuador",100.5,"ECU",NA,NA,NA,NA
"Egypt",284.9,"EGY",NA,NA,NA,NA
"El Salvador",25.14,"SLV",NA,NA,NA,NA
"Equatorial Guinea",15.4,"GNQ",NA,NA,NA,NA
"Eritrea",3.87,"ERI",NA,NA,NA,NA
"Estonia",26.36,"EST",NA,NA,NA,NA
"Ethiopia",49.86,"ETH",NA,NA,NA,NA
