"COUNTRY","GDP..BILLIONS.","CODE","country","year","total_netwgt_kgs","mean_netwgt_kgs","total_value_usd","mean_value_usd"
"Afghanistan",21.71,"AFG",,,,,,
"Albania",13.4,"ALB",,,,,,
"Algeria",227.8,"DZA",,,,,,
"American Samoa",0.75,"ASM",,,,,,
"Andorra",4.8,"AND",,,,,,
"Angola",131.4,"AGO",,,,,,
"Anguilla",0.18,"AIA",,,,,,
"Antigua and Barbuda",1.24,"ATG",,,,,,
"Argentina",536.2,"ARG",,,,,,
"Armenia",10.88,"ARM",,,,,,
"Aruba",2.52,"ABW",,,,,,
"Australia",1483,"AUS",,,,,,
"Austria",436.1,"AUT",,,,,,
"Azerbaijan",77.91,"AZE",,,,,,
"Bahamas, The",8.65,"BHM",,,,,,
"Bahrain",34.05,"BHR",,,,,,
"Bangladesh",186.6,"BGD",,,,,,
"Barbados",4.28,"BRB",,,,,,
"Belarus",75.25,"BLR",,,,,,
"Belgium",527.8,"BEL",,,,,,
"Belize",1.67,"BLZ",,,,,,
"Benin",9.24,"BEN",,,,,,
"Bermuda",5.2,"BMU",,,,,,
"Bhutan",2.09,"BTN",,,,,,
"Bolivia",34.08,"BOL",,,,,,
"Bosnia and Herzegovina",19.55,"BIH",,,,,,
"Botswana",16.3,"BWA",,,,,,
"Brazil",2244,"BRA",,,,,,
"British Virgin Islands",1.1,"VGB",,,,,,
"Brunei",17.43,"BRN",,,,,,
"Bulgaria",55.08,"BGR",,,,,,
"Burkina Faso",13.38,"BFA",,,,,,
"Burma",65.29,"MMR",,,,,,
"Burundi",3.04,"BDI",,,,,,
"Cabo Verde",1.98,"CPV",,,,,,
"Cambodia",16.9,"KHM",,,,,,
"Cameroon",32.16,"CMR",,,,,,
"Canada",1794,"CAN",,,,,,
"Cayman Islands",2.25,"CYM",,,,,,
"Central African Republic",1.73,"CAF",,,,,,
"Chad",15.84,"TCD",,,,,,
"Chile",264.1,"CHL",,,,,,
"China",10360,"CHN","China",2016,3356517.46,372946.38,12513153,1390350.33
"China",10360,"CHN","China",2017,5570996.38,506454.22,18494243,1681294.82
"China",10360,"CHN","China",2018,1909723,272817.57,24882561,3554651.57
"China",10360,"CHN","China",2019,2560227,256022.7,26237837,2623783.7
"China",10360,"CHN","China",2020,1153964,128218.22,7535387,837265.22
"China",10360,"CHN","China",2021,2030700,169225,19234951,1602912.58
"China",10360,"CHN","China",2022,1845887,167807.91,16729045,1520822.27
"China",10360,"CHN","China",2023,2759898,229991.5,24138738,2011561.5
"China",10360,"CHN","China",2024,3030935,303093.5,23613274,2361327.4
"Colombia",400.1,"COL",,,,,,
"Comoros",0.72,"COM",,,,,,
"Congo, Democratic Republic of the",32.67,"COD",,,,,,
"Congo, Republic of the",14.11,"COG",,,,,,
"Cook Islands",0.18,"COK",,,,,,
"Costa Rica",50.46,"CRI",,,,,,
"Cote d'Ivoire",33.96,"CIV",,,,,,
"Croatia",57.18,"HRV",,,,,,
"Cuba",77.15,"CUB",,,,,,
"Curacao",5.6,"CUW",,,,,,
"Cyprus",21.34,"CYP",,,,,,
"Czech Republic",205.6,"CZE",,,,,,
"Denmark",347.2,"DNK",,,,,,
"Djibouti",1.58,"DJI",,,,,,
"Dominica",0.51,"DMA",,,,,,
"Dominican Republic",64.05,"DOM",,,,,,
"Ecuador",100.5,"ECU",,,,,,
"Egypt",284.9,"EGY",,,,,,
"El Salvador",25.14,"SLV",,,,,,
"Equatorial Guinea",15.4,"GNQ",,,,,,
"Eritrea",3.87,"ERI",,,,,,
"Estonia",26.36,"EST",,,,,,
"Ethiopia",49.86,"ETH",,,,,,
"Falkland Islands (Islas Malvinas)",0.16,"FLK",,,,,,
"Faroe Islands",2.32,"FRO",,,,,,
"Fiji",4.17,"FJI",,,,,,
"Finland",276.3,"FIN",,,,,,
"France",2902,"FRA",,,,,,
"French Polynesia",7.15,"PYF",,,,,,
"Gabon",20.68,"GAB",,,,,,
"Gambia, The",0.92,"GMB",,,,,,
"Georgia",16.13,"GEO",,,,,,
"Germany",3820,"DEU",,,,,,
"Ghana",35.48,"GHA",,,,,,
"Gibraltar",1.85,"GIB",,,,,,
"Greece",246.4,"GRC",,,,,,
"Greenland",2.16,"GRL",,,,,,
"Grenada",0.84,"GRD",,,,,,
"Guam",4.6,"GUM",,,,,,
"Guatemala",58.3,"GTM",,,,,,
"Guernsey",2.74,"GGY",,,,,,
"Guinea-Bissau",1.04,"GNB",,,,,,
"Guinea",6.77,"GIN",,,,,,
"Guyana",3.14,"GUY",,,,,,
"Haiti",8.92,"HTI",,,,,,
"Honduras",19.37,"HND",,,,,,
"Hong Kong",292.7,"HKG",,,,,,
"Hungary",129.7,"HUN",,,,,,
"Iceland",16.2,"ISL",,,,,,
"India",2048,"IND","India",2011,239899,47979.8,2036354.46,407270.89
"India",2048,"IND","India",2012,320739,64147.8,4010162.3,802032.46
"India",2048,"IND","India",2013,288855,41265,3735329.26,533618.47
"India",2048,"IND","India",2014,24938,8312.67,240229.43,80076.48
"India",2048,"IND","India",2015,187072,37414.4,1473228.51,294645.7
"India",2048,"IND","India",2016,9410,9410,88433.11,88433.11
"India",2048,"IND","India",2017,13766,13766,187691.53,187691.53
"India",2048,"IND","India",2023,14303,14303,140593.08,140593.08
"Indonesia",856.1,"IDN",,,,,,
"Iran",402.7,"IRN",,,,,,
"Iraq",232.2,"IRQ",,,,,,
"Ireland",245.8,"IRL",,,,,,
"Isle of Man",4.08,"IMN",,,,,,
"Israel",305,"ISR",,,,,,
"Italy",2129,"ITA",,,,,,
"Jamaica",13.92,"JAM",,,,,,
"Japan",4770,"JPN",,,,,,
"Jersey",5.77,"JEY",,,,,,
"Jordan",36.55,"JOR",,,,,,
"Kazakhstan",225.6,"KAZ",,,,,,
"Kenya",62.72,"KEN",,,,,,
"Kiribati",0.16,"KIR",,,,,,
"Korea, North",28,"PRK",,,,,,
"Korea, South",1410,"KOR",,,,,,
"Kosovo",5.99,"KSV",,,,,,
"Kuwait",179.3,"KWT",,,,,,
"Kyrgyzstan",7.65,"KGZ",,,,,,
"Laos",11.71,"LAO",,,,,,
"Latvia",32.82,"LVA",,,,,,
