"year","total_netwgt_kgs","mean_netwgt_kgs","total_value_usd","mean_value_usd","wgt_pctchg","value_pctchg"
2010,884656,73721.3333333333,4031722.345,335976.862083333,,
2011,2289167,134656.882352941,7846964.433,461586.143117647,159,95
2012,4042454.81,224580.822777778,10716545.146,595363.619222222,77,37
2013,5613114.6,295427.084210526,9699241.979,510486.419947368,39,-9
2014,5433798.8,362253.253333333,8924302.544,594953.502933333,-3,-8
2015,5512726,324278,22492469.189,1323086.42288235,1,152
2016,7372050.762,368602.5381,31412126.135,1570606.30675,34,40
2017,8865073.879,369378.078291667,35893304.527,1495554.35529167,20,14
2018,2461581.59,153848.849375,28191626.336,1761976.646,-72,-21
2019,3621197.7,190589.352631579,32227215.418,1696169.23252632,47,14
2020,9626387,481319.35,41766594.858,2088329.7429,166,30
2021,8054515.4,335604.808333333,58105760.831,2421073.36795833,-16,39
2022,7236257.4,314619.886956522,51981616.825,2260070.29673913,-10,-11
2023,8793792.7,325696.025925926,62785592.327,2325392.30840741,22,21
2024,8713966,396089.363636364,61336713.709,2788032.44131818,-1,-2
