"country","year","iso_code","continent","net_wgt_kgs","net_wgt_lbs","is_net_wgt_estimated","primary_value_usd","month_abb","month","month_year","nh_season","sh_season"
"Uruguay",2010,,,,,,,,,,,
"Uruguay",2011,,,,,,,,,,,
"Uruguay",2012,,,,,,,,,,,
"Uruguay",2013,,,,,,,,,,,
"Uruguay",2014,,,,,,,,,,,
"Uruguay",2015,,,,,,,,,,,
"Uruguay",2016,,,,,,,,,,,
"Uruguay",2017,,,,,,,,,,,
"Uruguay",2018,,,,,,,,,,,
"Uruguay",2019,,,,,,,,,,,
"Uruguay",2020,,,,,,,,,,,
"Uruguay",2021,,,,,,,,,,,
"Uruguay",2022,,,,,,,,,,,
"Uruguay",2023,"URY","South America",24051.7,53024.38,FALSE,138626.67,"Jan",1,Jan 2023,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"Uruguay",2023,"URY","South America",25932,57169.69,FALSE,75925.52,"May",5,May 2023,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"Uruguay",2024,,,,,,,,,,,
